,user_id,restaurant_id,actual_rating,recommended_rating,latitude,longitude
507,AvlcCUhYaOldKwa4DAKy6Q,RESDUcs7fIiihp38-d6_6g,4.0,3.8835099698164495,36.116113,-115.176222
804,cMEtAiW60I5wE_vLfTxoJQ,A_CXVdyJCE6nyxwbd6fNwg,4.0,4.099915641356705,36.091256278,-115.1767653721
936,F_5_UNX-wrAFCXuAkBZRDw,UUGoM4q4i8rK2CBRS0xDAw,4.0,4.438716401866756,36.1119459216,-115.1768767834
1109,xhhE0txKwQtRzgQVVdKkvg,cOJ1uIVIHCiefUyWG2wDfw,3.0,3.7366514823781953,36.1073888656,-115.18159009520001
1178,JADdo9NEeO5Az9aOYbyvZA,H8qpFitIesth86zqR4cwYg,4.0,4.06393276839362,36.107727,-115.176986
1918,B1829_hxXSEpDPEDJtYeIw,fL-b760btOaGa85OJ9ut3w,3.0,3.9285026854604133,36.1321875,-115.1770963
3116,xhhE0txKwQtRzgQVVdKkvg,fL-b760btOaGa85OJ9ut3w,4.0,4.2697247236809455,36.1321875,-115.1770963
3133,4uscIP7YDERJG9oxEFed3w,pJpjgXH5lgJtIJos9GqetQ,4.0,4.0363693819250015,36.1178982101,-115.1749598378
3224,NzXQ7FMJN85YxahEEt4zJQ,UUGoM4q4i8rK2CBRS0xDAw,5.0,4.048955290507987,36.1119459216,-115.1768767834
3256,PKEzKWv_FktMm2mGPjwd0Q,IB8zLlGraOg9LU7qQVLPyg,3.0,3.783351560803137,36.1268121273,-115.1747676949
3523,n86B7IkbU20AkxlFX_5aew,H8qpFitIesth86zqR4cwYg,4.0,4.01229199466715,36.107727,-115.176986
4229,6pzA8EDhHgW3A5-rBObhBA,UUGoM4q4i8rK2CBRS0xDAw,4.0,4.232225695221336,36.1119459216,-115.1768767834
5635,oeAhRa8yFa9jtrhaHnOyxQ,P6O50VeFlBIJpP0QPYsXbQ,5.0,4.159366146119804,36.115367,-115.174912
6291,U4INQZOPSUaj8hMjLlZ3KA,gS0CcaNcmiU18nLqqELhUQ,4.0,3.7033612338962905,36.1131896973,-115.177444458
6680,U4INQZOPSUaj8hMjLlZ3KA,pik4ebdFa0UcUhnNkivFcg,4.0,3.643603011002468,36.1193209467,-115.1752004472
6872,F_5_UNX-wrAFCXuAkBZRDw,U9aA5H13y7t9xWnoQslV0Q,3.0,3.2119825762326224,36.116165,-115.175067
7675,C2C0GPKvzWWnP57Os9eQ0w,e13SEvJud_vgeDR_doL4sQ,3.0,3.4752195161090205,36.094254,-115.176019
8100,uEvusDwoSymbJJ0auR3muQ,-Ylpy3VyRWwubf9dysuwjQ,4.0,4.0363954275412235,36.1174528,-115.1766881
8891,uEvusDwoSymbJJ0auR3muQ,SsN-SaGGkJn2Qm-jSDQ4aQ,3.0,3.7652632861764688,36.1189640942,-115.1757904887
9199,ldqh2aWLTW6D2RHDCj_2TA,nVAJZ6BJ9PPlxDXn976R6A,4.0,4.036863706754153,36.1013195,-115.1821862
9436,y3FcL4bLy0eLlkb0SDPnBQ,gS0CcaNcmiU18nLqqELhUQ,3.0,3.8295018652585298,36.1131896973,-115.177444458
10188,j-1qkha4h87wMfNfwPvfqQ,H8qpFitIesth86zqR4cwYg,5.0,4.609057979106288,36.107727,-115.176986
11309,cMEtAiW60I5wE_vLfTxoJQ,U9aA5H13y7t9xWnoQslV0Q,3.0,2.9214469593896006,36.116165,-115.175067
11386,Yygufhb_Nk2_GZOJmIcEJA,AyEtowSGi9vx0-xFfrgjWw,4.0,3.79186931794682,36.1161559,-115.1750576
11438,oeAhRa8yFa9jtrhaHnOyxQ,A_CXVdyJCE6nyxwbd6fNwg,4.0,3.870639479374808,36.091256278,-115.1767653721
11564,6pzA8EDhHgW3A5-rBObhBA,AUZQbqGldMpNURXCh-UuUQ,4.0,3.61643869026623,36.1137695312,-115.1755599976
11961,fquTEV93jh82JYob6u0CEA,RESDUcs7fIiihp38-d6_6g,5.0,4.278913147262768,36.116113,-115.176222
12597,cMEtAiW60I5wE_vLfTxoJQ,huOCKRwDvNqGX3KSzYawbw,4.0,3.933107480339533,36.112133,-115.176792
12984,6pzA8EDhHgW3A5-rBObhBA,H8qpFitIesth86zqR4cwYg,4.0,4.186940857654725,36.107727,-115.176986
13358,fquTEV93jh82JYob6u0CEA,RESDUcs7fIiihp38-d6_6g,4.0,4.278913147262768,36.116113,-115.176222
13566,JADdo9NEeO5Az9aOYbyvZA,P6O50VeFlBIJpP0QPYsXbQ,5.0,4.349679129038198,36.115367,-115.174912
13796,F_5_UNX-wrAFCXuAkBZRDw,RESDUcs7fIiihp38-d6_6g,4.0,4.262922629893047,36.116113,-115.176222
13992,PKEzKWv_FktMm2mGPjwd0Q,UUGoM4q4i8rK2CBRS0xDAw,4.0,3.95031904737932,36.1119459216,-115.1768767834
14918,dHxvSPU6PZqX1LQRXajGDQ,AyEtowSGi9vx0-xFfrgjWw,4.0,3.7937975868232936,36.1161559,-115.1750576
15066,y3FcL4bLy0eLlkb0SDPnBQ,IB8zLlGraOg9LU7qQVLPyg,4.0,3.9547020137589866,36.1268121273,-115.1747676949
16019,y3FcL4bLy0eLlkb0SDPnBQ,nVAJZ6BJ9PPlxDXn976R6A,4.0,4.110344911760817,36.1013195,-115.1821862
16215,uEvusDwoSymbJJ0auR3muQ,UUGoM4q4i8rK2CBRS0xDAw,5.0,4.280942943306194,36.1119459216,-115.1768767834
16472,dHxvSPU6PZqX1LQRXajGDQ,nVAJZ6BJ9PPlxDXn976R6A,5.0,4.130182099340677,36.1013195,-115.1821862
17154,n86B7IkbU20AkxlFX_5aew,AyEtowSGi9vx0-xFfrgjWw,3.0,3.7098677311420234,36.1161559,-115.1750576
17652,j-1qkha4h87wMfNfwPvfqQ,RESDUcs7fIiihp38-d6_6g,5.0,4.4785490446991885,36.116113,-115.176222
18781,Ryxj0u0AW3mRsRypdYli2A,bTv4SViSYM5aux1HUN1LEA,5.0,4.029580251630902,36.099097684200004,-115.1753686326
18996,bLbSNkLggFnqwNNzzq-Ijw,nVAJZ6BJ9PPlxDXn976R6A,4.0,3.522210089025541,36.1013195,-115.1821862
19435,NzXQ7FMJN85YxahEEt4zJQ,RESDUcs7fIiihp38-d6_6g,4.0,3.873161518534277,36.116113,-115.176222
19689,7BOLcPyH4YmXGKm4sWaYKA,duw-3Aj7gAKbQG-isS5UtQ,5.0,4.4727009764553065,36.090903,-115.174393
19739,fquTEV93jh82JYob6u0CEA,e13SEvJud_vgeDR_doL4sQ,5.0,4.06502505066633,36.094254,-115.176019
19955,C2C0GPKvzWWnP57Os9eQ0w,MqYYYNA-ZYvV-1w5qcmMoA,3.0,3.5151294083161013,36.0912561066,-115.17648249860001
20232,Yygufhb_Nk2_GZOJmIcEJA,P6O50VeFlBIJpP0QPYsXbQ,5.0,4.380039942116524,36.115367,-115.174912
20461,ldqh2aWLTW6D2RHDCj_2TA,cOJ1uIVIHCiefUyWG2wDfw,4.0,3.6855585889336497,36.1073888656,-115.18159009520001
20665,ldqh2aWLTW6D2RHDCj_2TA,W90h9VXUSdRz1_uJhweVPQ,4.0,3.2721821669617275,36.1044875,-115.1767584
21646,uERlyO-ASZag6XXouCrkhg,w8RWhhuKxMiFCpvFvIQ3zg,4.0,4.2308371208087525,36.1191259407,-115.1772566948
22432,4uscIP7YDERJG9oxEFed3w,AyEtowSGi9vx0-xFfrgjWw,4.0,3.79186931794682,36.1161559,-115.1750576
24001,bLbSNkLggFnqwNNzzq-Ijw,fL-b760btOaGa85OJ9ut3w,3.0,3.703978212507787,36.1321875,-115.1770963
24018,oeAhRa8yFa9jtrhaHnOyxQ,duw-3Aj7gAKbQG-isS5UtQ,4.0,3.9553677985987146,36.090903,-115.174393
24807,xhhE0txKwQtRzgQVVdKkvg,Y4nbkhj4VowkdSMuSC9Fgw,4.0,4.138525678056526,36.1099462,-115.17539109999998
25858,7BOLcPyH4YmXGKm4sWaYKA,RESDUcs7fIiihp38-d6_6g,4.0,4.260444028924722,36.116113,-115.176222
26213,JADdo9NEeO5Az9aOYbyvZA,Dxaz8OxaadecnWol18kAtw,4.0,3.825326696302058,36.113508959099995,-115.1750483518
26630,cMEtAiW60I5wE_vLfTxoJQ,AyEtowSGi9vx0-xFfrgjWw,4.0,3.800471683931996,36.1161559,-115.1750576
26674,TLH5qTPXSgMnJ7wZYCwP5Q,IB8zLlGraOg9LU7qQVLPyg,4.0,3.958565860461449,36.1268121273,-115.1747676949
26832,PKEzKWv_FktMm2mGPjwd0Q,SsN-SaGGkJn2Qm-jSDQ4aQ,4.0,3.4346393902495964,36.1189640942,-115.1757904887
26874,XjBWldYnsS3O94OPAsgFpQ,MqYYYNA-ZYvV-1w5qcmMoA,4.0,3.752299177862725,36.0912561066,-115.17648249860001
27442,6pzA8EDhHgW3A5-rBObhBA,A_CXVdyJCE6nyxwbd6fNwg,5.0,4.183960551554307,36.091256278,-115.1767653721
28214,AvlcCUhYaOldKwa4DAKy6Q,H8qpFitIesth86zqR4cwYg,4.0,4.014018904223549,36.107727,-115.176986
28689,XjBWldYnsS3O94OPAsgFpQ,gS0CcaNcmiU18nLqqELhUQ,4.0,3.809903519149151,36.1131896973,-115.177444458
29497,TLH5qTPXSgMnJ7wZYCwP5Q,duw-3Aj7gAKbQG-isS5UtQ,4.0,4.161996522594508,36.090903,-115.174393
29505,bLbSNkLggFnqwNNzzq-Ijw,1aMxCG33wAoxjWoeRsl4BA,2.0,2.641280757233062,36.1161559,-115.1750576
29514,U4INQZOPSUaj8hMjLlZ3KA,P6O50VeFlBIJpP0QPYsXbQ,5.0,4.235990392050898,36.115367,-115.174912
29947,AvlcCUhYaOldKwa4DAKy6Q,pJpjgXH5lgJtIJos9GqetQ,3.0,3.9560947046766035,36.1178982101,-115.1749598378
30253,uERlyO-ASZag6XXouCrkhg,H8qpFitIesth86zqR4cwYg,5.0,4.159262376332826,36.107727,-115.176986
30263,TLH5qTPXSgMnJ7wZYCwP5Q,-Ylpy3VyRWwubf9dysuwjQ,4.0,3.880985831272662,36.1174528,-115.1766881
30774,XjBWldYnsS3O94OPAsgFpQ,Dxaz8OxaadecnWol18kAtw,3.0,3.8181802445676185,36.113508959099995,-115.1750483518
31165,4uscIP7YDERJG9oxEFed3w,UUGoM4q4i8rK2CBRS0xDAw,5.0,4.139578419038558,36.1119459216,-115.1768767834
31956,Ryxj0u0AW3mRsRypdYli2A,pJpjgXH5lgJtIJos9GqetQ,5.0,4.514767120653922,36.1178982101,-115.1749598378
32750,B1829_hxXSEpDPEDJtYeIw,g8oxQ1Ji9mr9PMjhEfaWSg,3.0,2.8145112579483014,36.0994443035,-115.17546848709999
33328,Yygufhb_Nk2_GZOJmIcEJA,U9aA5H13y7t9xWnoQslV0Q,3.0,2.9128445934044236,36.116165,-115.175067
33474,Ryxj0u0AW3mRsRypdYli2A,RESDUcs7fIiihp38-d6_6g,5.0,4.442182385793768,36.116113,-115.176222
34041,PKEzKWv_FktMm2mGPjwd0Q,U9aA5H13y7t9xWnoQslV0Q,3.0,2.7235852217451866,36.116165,-115.175067
34171,j-1qkha4h87wMfNfwPvfqQ,AyEtowSGi9vx0-xFfrgjWw,4.0,4.3066337155811585,36.1161559,-115.1750576
36156,NzXQ7FMJN85YxahEEt4zJQ,U9aA5H13y7t9xWnoQslV0Q,3.0,2.822221464873852,36.116165,-115.175067
36279,uERlyO-ASZag6XXouCrkhg,w8RWhhuKxMiFCpvFvIQ3zg,4.0,4.2308371208087525,36.1191259407,-115.1772566948
36314,xhhE0txKwQtRzgQVVdKkvg,IB8zLlGraOg9LU7qQVLPyg,4.0,3.9323137021968697,36.1268121273,-115.1747676949
36735,7BOLcPyH4YmXGKm4sWaYKA,oJZNHz5UUVUgrZwVBVlpYw,5.0,4.486053382811256,36.112847333699996,-115.17581462860001
38059,7BOLcPyH4YmXGKm4sWaYKA,U9aA5H13y7t9xWnoQslV0Q,4.0,3.2095039752642966,36.116165,-115.175067
38751,B1829_hxXSEpDPEDJtYeIw,RESDUcs7fIiihp38-d6_6g,4.0,3.582265378578812,36.116113,-115.176222
38857,PKEzKWv_FktMm2mGPjwd0Q,w8RWhhuKxMiFCpvFvIQ3zg,4.0,3.9766089542886354,36.1191259407,-115.1772566948
39180,uERlyO-ASZag6XXouCrkhg,w8RWhhuKxMiFCpvFvIQ3zg,4.0,4.2308371208087525,36.1191259407,-115.1772566948
39910,TLH5qTPXSgMnJ7wZYCwP5Q,RESDUcs7fIiihp38-d6_6g,4.0,3.9497395750639237,36.116113,-115.176222
40337,xhhE0txKwQtRzgQVVdKkvg,PSMJesRmIDmust2MUw7aQA,3.0,2.9014310330121544,36.0934209685,-115.17614489969999
40856,dHxvSPU6PZqX1LQRXajGDQ,fE7x3Ui2mzdwdfJnd7r_1g,4.0,3.2726205446550347,36.116156,-115.175059
41655,n86B7IkbU20AkxlFX_5aew,w8RWhhuKxMiFCpvFvIQ3zg,5.0,4.083866739143076,36.1191259407,-115.1772566948
42058,C2C0GPKvzWWnP57Os9eQ0w,UUGoM4q4i8rK2CBRS0xDAw,3.0,3.8649013846791673,36.1119459216,-115.1768767834
