,user_id,restaurant_id,actual_rating,recommended_rating,latitude,longitude
2,qvWEXDJj5ctSuj4A5B5EvQ,riFzCvp77DMKDX-5GoTpqA,3.0,3.3580202893715767,36.0114062572,-115.1757787001
3,-50XWnmQGqBgEI-9ANvLlg,SAIrNOB4PtDA4gziNCucwg,5.0,4.151218433163877,36.143924215300004,-115.1917272624
4,MqcfaSdLXh7H1Aey_HPUsw,iBPyahdJRP5y0t25fF2W9w,5.0,5.0,36.1145367627,-115.172678268
5,XTBfnHWtAgq2YauG06HIig,2Q9Mgkc7iFHuKoD_z7kJkQ,4.0,4.7047032460090685,36.122741,-115.208699
6,3AslQbC62N2ZRMIeY1KJZA,w8RWhhuKxMiFCpvFvIQ3zg,5.0,4.504728769060175,36.1191259407,-115.1772566948
9,WL0WVJaK3MbvDuqLQC_yww,YVd2yYNjpiFg2s4ToMRmPA,5.0,4.609221669581342,36.113987085,-115.3086563945
12,P4FE3jU7XXozU2Pak1rSdA,qTTBJ83d-nWSnQpXyd44gA,4.0,4.323953598248616,36.1425573259,-115.24238164389999
13,rzcuN6-bBV2CSNalODR0oA,W6s1BQa6N3mU6UBTv_KqSw,5.0,4.576252093861519,36.2768677,-115.2078847
14,KzvBYderArBg5XJq-9yC9g,2sx52lDoiEtef7xgPCaoBw,5.0,4.435900325424434,36.167285394400004,-115.13931044729999
23,wLFHlNW1VXHIxHMmvzSpVA,0_aeYE2-VbsZts_UpILgDw,5.0,4.84008726494417,36.152831458,-115.3338667748
25,Dxg45fV8RbT7l6parLymQA,-0RkJ_uIduNLWQrphbADRw,5.0,4.90494619110662,36.2075389,-115.2681541
28,Hd5h-uSjhGzSmH2GwFybXA,CauQnqZ5eowyrr7oWF_p3Q,5.0,4.601085270569421,36.2272411,-115.2114946
31,Ew2y3jL11uooMQxSwwL6tw,33Tr0eRki1Yamzleu4GMdw,4.0,3.9856653566018867,36.0780831,-115.2421295
35,Dg9VkLxxuN95K9__sX6zeA,uW6UHfONAmm8QttPkbMewQ,3.0,3.801937544311213,36.0420628,-115.2781558
38,rdysF0ymVkMX82Bu_8x3nA,8K3CRM4COa0SSBEvli0fJQ,4.0,3.999886283068257,36.1448066,-115.2739885
39,ikEbNrDG-0Qtmo9FFb2qwg,FNe5PPA9pyj8FjcDefCBpg,5.0,4.110309213641779,36.143956,-115.1930886
47,jEBySjq6tgL-_R3P7LHq0w,T5nTtSCSRoEYMsZPhF61wg,4.0,4.1894638940272655,36.2779836878,-115.2869477727
50,Rdt-JiAN7Qlw3dJ7UVdNtw,xfzDtGxx6B4a27RAyah69w,4.0,4.045552533234344,36.099496,-115.208672
51,Oixv0VgElz8pxQFp2lkdJg,YTqtM2WFhcMZGeAGA08Cfg,4.0,4.3130443913599565,36.159655901,-115.13634802709998
55,b7qDvcH9rC9r8iLDiHMlsw,YNHvFEvp9VDNwX5VhRanYQ,3.0,3.2141126305408045,36.055816820100006,-115.28128738
56,NFodPTpbWK7dSymxaBiUXg,b-RSw4G3HJvGfwvRLzuLPw,3.0,3.8466784195663486,36.121179,-115.169653
57,41kMyI1BfOTyIIAenUSaTQ,IB8zLlGraOg9LU7qQVLPyg,4.0,3.897244886037922,36.1268121273,-115.1747676949
58,YUzqKt7hmG5BkRykHeZ0gg,Zmfq3DVhHdtVChhSxzoUHw,4.0,4.079982502633645,36.0789362,-115.2985524
61,QszFudVWwmaQenAMmIDCqQ,SUd3IyEN7n5OYEGyt_U5lg,5.0,4.523532637731963,36.2649537244,-115.2519058809
68,3nDUQBjKyVor5wV0reJChg,qVO3l9Q0-KVQE7W9JL9ePw,5.0,4.1651974673153225,36.127061,-115.241457
69,zI0cogkqx4WQArqzTHXd-Q,tSbs8i_9Hlaommupjgn63Q,3.0,3.8755426876127217,36.1739948,-115.0797033
70,55bAo20xQNIA2CfMKIDtPA,SIWwh4m6kkvUaa5skrVAQQ,3.0,3.6421743771061874,36.192999384000004,-115.1324633591
71,mr5YGs6ysShHcOMgFHQxJg,eoHdUeQDNgQ6WYEnP2aiRw,4.0,3.4024234342416766,36.1156697204,-115.17331657959998
72,4ayVX0YKY3GSP2IICpLJXQ,EneqsOFGCK4KXofNHsc5aQ,4.0,3.8418086002271767,36.1174214,-115.1701669
74,aQpbee0jhvIgiMN8HZJPRA,v1AE1LLWDOqe8ubOzqKADg,5.0,4.613380039044685,36.02623279999999,-115.1193237
75,s1ycNwrpYQb2AYHJhhLNBA,DkYS3arLOhA8si5uUEmHOw,5.0,4.374915023120221,36.109418,-115.1718738
76,TFfFBvt2GM7uj3LmLie_7w,uiHyP1uOAzOPkOmnWhnW0A,3.0,3.1961052073347997,35.9990691,-115.2041695
78,-IM1qwYck6nqKizjCzR_ww,oDQG-l5jts3-M2r9xKquyA,2.0,2.9116544778819335,36.30271610000001,-115.2822305
