,Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
25,25,tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,36.1956146,-115.04052890000001,4.5,184,1,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HappyHour': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}","Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife","{'Monday': '11:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}"
75,75,kANF0dbeoW34s2vwh6Umfw,Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,89146,36.1250311,-115.22562020000001,2.0,33,0,"{'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'WiFi': ""'no'"", 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'Caters': 'False'}","Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt",
173,173,v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,241 W Charleston Blvd,Las Vegas,NV,89102,36.158264200000005,-115.1579672,4.5,3,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife",
198,198,4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,Las Vegas,NV,89169,36.1020497898,-115.15628829999999,4.5,3,1,,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
206,206,PWjgwphd2prhtqTPWwLbXw,Stage Deli Of Las Vegas,"3500 Las Vegas Blvd S, Ste E11",Las Vegas,NV,89109,36.11732670000001,-115.1765011,3.5,28,0,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'GoodForKids': 'True'}","Sandwiches, Restaurants, Delis, Desserts, Food","{'Monday': '6:30-3:30', 'Tuesday': '6:30-3:30', 'Wednesday': '6:30-3:30', 'Thursday': '6:30-3:30', 'Friday': '6:30-6:30', 'Saturday': '6:30-6:30', 'Sunday': '6:30-3:30'}"
214,214,eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,1263 Silverado Ranch Blvd,Las Vegas,NV,89183,36.012764000000004,-115.13605600000001,4.0,77,0,"{'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'Alcohol': ""u'none'"", 'ByAppointmentOnly': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsBitcoin': 'False', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}"
216,216,iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",Las Vegas,NV,89121,36.1290404,-115.0912939,4.0,27,1,"{'GoodForDancing': 'False', 'GoodForKids': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'HappyHour': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}""}","Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits",
240,240,0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",Las Vegas,NV,89103,36.116169299999996,-115.24185159999999,4.5,39,1,"{'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'DogsAllowed': 'True', 'Caters': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'HasTV': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'quiet'""}","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '10:0-16:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
300,300,XWa7nXOddOYKxojywngk8w,Body Food Kitchen,,Las Vegas,NV,89128,36.233048,-115.246776,5.0,7,0,"{'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'GoodForKids': 'True', 'Caters': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False', 'HasTV': 'False'}","American (Traditional), Gluten-Free, Restaurants, Food Delivery Services, American (New), Weight Loss Centers, Health & Medical, Nutritionists, Food",
353,353,xXtWrRKn8A708BfaNs1nZw,"Coffee, Tea, or Me","2600 W Sahara Ave, Ste 121",Las Vegas,NV,89102,36.1452198,-115.17665120000001,4.0,19,0,"{'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True'}","Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '20:0-23:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '10:0-19:0'}"
464,464,LEOvXK3lMEfjnex3CPvrng,Albinas Italian American Bakery,3035 E Tropicana Ave,Las Vegas,NV,89121,36.0992176,-115.10965990000001,4.5,11,0,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False'}","Food, Bakeries, Restaurants",
542,542,dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,Las Vegas,NV,89109,36.120095,-115.171769,3.5,115,1,"{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'loud'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BikeParking': 'False', 'WiFi': ""u'no'"", 'HasTV': 'False', 'Caters': 'False', 'GoodForKids': 'True'}","Fast Food, Mexican, Restaurants","{'Monday': '10:0-0:0', 'Tuesday': '10:0-0:0', 'Wednesday': '10:0-0:0', 'Thursday': '10:0-0:0', 'Friday': '10:0-1:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-0:0'}"
