,user_id,restaurant_id,actual_rating,recommended_rating,latitude,longitude
8,s2o_JsABvrZVm_T03qrBUw,ozEDKl0tZw5ob1evx41gcQ,4.0,4.161917975978648,36.2424193447,-115.23581079510001
11,Spgm6HFWgc4YXJlbhg11Pg,rioQ_p2pILNbJ4Xp5jW6-Q,3.0,3.9599487297774214,36.16771660000001,-115.1383532
12,XAcqLJnFQRLUUdiu51jjzw,DW0ZvWuYaSvMcB_3LG5RGg,3.0,3.818724681301112,36.161278,-115.331443
15,VZNWqQD2V5jukp0sPcD2lw,jbbFSVdIrac2QBuSV-NBLw,3.0,3.522017898796615,36.11237,-115.170678
19,sk_x-5iUw_TQAA4KcIgKEQ,eiTWTVThkHr-DKXxIysbgA,4.0,3.3314655412721166,36.04375,-115.243965
27,42LUxWiXgD6P4FHYZ3K9tA,HnQVDNGFWOS5zle0dhpOkw,4.0,3.25168195261282,36.112890415100004,-115.2975437254
31,o2OJI1mHZJcYEiEb6LI4WA,01VPJkcU0m8WzlA7dCEpVQ,5.0,4.107583844399544,36.126770935100005,-115.2076159086
32,dLoUSe9E25agXphQjx8Svg,V-0qRzBHKixmQgon_fW_AA,4.0,3.9108462150916536,36.0957104,-115.2982684
36,bLbSNkLggFnqwNNzzq-Ijw,NEZCr0zLIPNYWNF57KsJJQ,3.0,3.405107499822729,36.128595,-115.109267
37,_pMzR6yoPbU98t-NH8TZ3w,KDdu9HDswaJYExaGDuzRjQ,4.0,3.4004104136674544,36.2776503,-115.2871386
41,pSfeno8ExPHvn8NXca5sfA,4JNXUYY8wbaaDmk3BPzlWw,3.0,3.785708343857877,36.112859,-115.172434
44,deL6e_z9xqZTIODKqnvRXQ,JcFyuyo0Rt6gDiVZ9yJ3VQ,5.0,4.147863498232696,36.1593346922,-115.35152712899999
46,_1nBbzvn9pIng-CqNziSzA,Ad_-9GuDFTEjAsSQ3PXLOw,4.0,3.640019514109588,36.1908455,-115.2588466
47,3Vd_ATdvvuVVgn_YCpz8fw,SIWwh4m6kkvUaa5skrVAQQ,4.0,3.8774085451098568,36.192999384000004,-115.1324633591
50,22guc0RON4M9xJa0u0wdCQ,7sPNbCx7vGAaH7SbNPZ6oA,4.0,3.999842122582389,36.0426311,-115.1530184
54,EmWRBnsaKgpJLT2xmKJgiA,IyrDnrvUKpndj5zIv1KvGQ,4.0,3.6628018173138943,36.1594983312,-115.1473491
58,A1yK1QyPaahfwp38zqn2Bg,ozEDKl0tZw5ob1evx41gcQ,4.0,3.6962958537120425,36.2424193447,-115.23581079510001
59,T5KBc5QbwZ-Oj9ApE4vZJA,y4ETe3DkcIjjr_eyeg5U5g,4.0,4.296517916671648,36.158705,-115.15293
61,8hArQSZwt80ct7fDPn16MA,nYzCr8fcJ2ci4aiB1-hB6w,5.0,4.537151156195388,36.1435557,-115.2514375
66,HYQoxBC1y1DGPq6pGP09Tw,ZFyJ83LJkkO1dP82kzXKNg,4.0,4.092376343997199,36.114897,-115.139774
68,Xsyw11gZiltqWL5RvWGKJg,s4sr0anCKMyQw53xNv6DQA,4.0,4.156974594883452,36.1643423,-115.2897778
71,n86B7IkbU20AkxlFX_5aew,BQKPbuILIAG53XtIZ51s5Q,3.0,3.167879243945204,36.239889821999995,-115.24865130799999
72,ryqJ5re09J5u94jDVImCew,xtYiHTmunjfCN2sUaQxBjA,4.0,3.502821509501263,36.1172377683,-115.18761798989999
77,Up9Q-R5MDFaD2K_t5FEpQQ,QSS4Jry8zQv8yGfkUhsZLA,5.0,4.758968337418281,36.145727,-115.1903294
79,Vd9G-SeTKdDyjehdkLfnLw,Y-S2LhHefBdnX8VP5Bh_JA,3.0,3.03337289733424,36.091726,-115.176646
82,vNGs6_DP7ZbtPwX7finVIQ,nHT_lECT2AIndXf5h_cfpQ,5.0,4.241145311551199,36.196201,-115.10464
84,Nnngjc-X-S7_9OVE_jn70A,ZPwx7ktiVluGFVg0L05n5A,5.0,4.5050089771909985,36.12631500000001,-115.214259
86,hwdvqVXZEzIAlzReTUhZfA,SAIrNOB4PtDA4gziNCucwg,4.0,4.130882033913549,36.143924215300004,-115.1917272624
87,p0hlNNwzFxKxt7feNvbN7Q,XQJr9_jZR1vOoZVcZfDDwQ,2.0,2.9222836926219213,36.0379386,-115.1818294
90,OLd25x0N_CgF5053Iqs8xA,16tWXenJ1wTqugXJU7yiZg,5.0,4.378000939064877,36.0529679,-115.2799153
91,VZNWqQD2V5jukp0sPcD2lw,4JNXUYY8wbaaDmk3BPzlWw,5.0,4.115162159652761,36.112859,-115.172434
93,y0axDGrceM7ve0chunw2Iw,yHYjDPuRtLvhvMpOn5fXOQ,5.0,4.229413980299044,36.119189,-115.2797301
96,MuLPdU0GYhdGWV71PTJW-Q,bUnm0-YK5HicLzkvMWwqjQ,5.0,4.012357516621098,36.0679347984,-115.17617538569999
98,AsYBFmnMZMm9FOJi6o0seA,_V0yJdpXrbdKzBDoVSJGWA,3.0,2.2735624888016286,36.1141583,-115.1535379
103,Xo1IpSNvNhOwyFm_tN4sug,2weQS-RnoOBhb1KsHKyoSQ,4.0,3.678420430523005,36.1268872232,-115.16559004780001
104,4Ch_27GkNV5p7I7ewlX3DQ,WSGHEQdcdbBWXDpna99EiQ,5.0,4.065123014738783,36.1955672,-115.2567757
111,r9lOq3ubP9ZlDDitFWomyQ,ZPwx7ktiVluGFVg0L05n5A,5.0,4.26358782896198,36.12631500000001,-115.214259
117,8-dMSM5RsZVlQyuJ7PEhYQ,SAIrNOB4PtDA4gziNCucwg,5.0,4.435844871679559,36.143924215300004,-115.1917272624
119,yGGGUYCGXm2UKVNYKT1U3g,s4sr0anCKMyQw53xNv6DQA,4.0,3.2431131439101453,36.1643423,-115.2897778
120,m-BZLIIh5PCAKnzH0qj_0Q,eJCDUkFa7wl-BHYKZzaTMQ,3.0,3.4824635253416085,36.19518,-115.2573615
122,6ZaL6fBlKx5tb8c9opl7rQ,8FUzCm4Q13MJMX7N6ftmQw,4.0,4.037152962183065,36.239262756100004,-115.24927128110001
123,l8qVKPPcUMQvfy1jgsKQlw,DkYS3arLOhA8si5uUEmHOw,5.0,4.281464502444758,36.109418,-115.1718738
124,ssgRnGGXxigWTEXM-n92lg,2sx52lDoiEtef7xgPCaoBw,4.0,4.715192341778895,36.167285394400004,-115.13931044729999
126,XXKjsdglgwSs9kWtK6ZWUQ,VsIx1NnhM5PA8prJjIZNYg,3.0,3.3770910287515097,36.0412834,-115.1833103
132,xUoW9HVMECqDNrjNRTV7MA,6Ve_2kEz18dvhp4q3M5I2Q,4.0,4.274031712165741,36.2033098,-115.242248
135,rn2DB_YX0BvToYe50RNr_Q,vjhB95c5nOXflNoyq_jKzw,4.0,3.2025673818535085,36.009253,-115.1169844
137,jL-qSB8CAKrAdF6fKJNCxQ,dn_ipqbm7_jUz5X3rDez_A,3.0,3.762922929495944,36.10831760000001,-115.174085
139,MIyk7EehR0HUumHyJECaOg,iPM85PQMs7QoAxw-Og9ChQ,4.0,3.849226468147692,36.1645604,-115.2893048
144,CG7vDoa2iGGrYQonSVn4Bw,0d0i0FaJq1GIeW1rS2D-5w,4.0,4.280997143664644,36.103262,-115.174101
146,Hm0diOkWwpo9zotlJlqMUQ,emCZVTnhkDEQUaAz5wJq1w,3.0,3.071654590473048,36.098806,-115.175792
147,Znid_azpcHmdRMHGicmkWA,TUpyKJFqL_ySZMo54pT-Sw,4.0,3.625691897692725,36.1956146,-115.0405289
150,tQVTyovdm4doXxDSkfYUUw,XkvvUNCmLIvOts0OftXegw,5.0,4.284364887402012,36.11362,-115.296572
151,F_5_UNX-wrAFCXuAkBZRDw,4JNXUYY8wbaaDmk3BPzlWw,5.0,4.506506487392133,36.112859,-115.172434
155,3nIuSCZk5f_2WWYMLN7h3w,xZlUykq9UzBUbROIPxi-tA,3.0,3.9022314691305184,36.1988542,-115.2659777
156,iG-V0nBbeD-pnIcquXH5YQ,F2HKV9oJhnIKQ-M4Gt4Ftg,3.0,3.4029363633448417,36.2185398,-115.2431106
